title,author
Realms of Dragons,Margaret Weis;Denise Little;Tracy Hickman
Peril's Gate,Janny Wurts
Cat on the Edge,Shirley Rousseau Murphy
Cat in the Dark,Shirley Rousseau Murphy
Imajica II,Clive Barker
By the River Piedra I Sat Down and Wept,Paulo Coelho
Veronika Decides to Die,Paulo Coelho
Days,Paul Bowles
Howl,Allen Ginsberg;Barry Miles
When the Heart Waits,Sue Monk Kidd
My secret,Frank Warren
The End of Days,Zecharia Sitchin
Owning Your Own Shadow,Robert A. Johnson
Rainforest Home Remedies,Rosita Arvigo;Nadine Epstein
Bulfinch's Mythology,Richard P. Martin
The Wish Giver,Bill Brittain
Child of the Owl,Laurence Yep
Dragon's Gate,Laurence Yep
American Dragons,Laurence Yep
Old Town in the Green Groves,Cynthia Rylant;Jim LaMarche
My Little House Crafts Book,Carolyn Strom Collins
Crucial Conversations,Kerry Patterson;Joseph Grenny;Ron McMillan;Al Switzler
Slim to None,Jennifer Hendricks
The Last Dance,Lynne Ann DeSpelder;Albert Lee Strickland
Who Moved My Cheese?,Spencer Johnson
The Toy Maker,Anthony McReavy
"""Surely You're Joking, Mr. Feynman!""",Richard Phillips Feynman;Ralph Leighton
Blood and Gold,Anne Rice
Bagombo Snuff Box,Kurt Vonnegut
Operation Shylock,Philip Roth
Fury,Salman Rushdie
Yeats is Dead!,Joseph O'Connor
The Gangs of New York,Herbert Asbury
Elephant,Raymond Carver
Underground,Haruki Murakami
Java,Walter J. Savitch
Astronomy,Eric Chaisson;Stephen McMillan
The Visual Arts,Hugh Honour;John Fleming
Three Genres,Stephen Minot
Love's Executioner,Irvin D. Yalom
Chickenhawk - Back in the World,Robert Mason
Ludwig Wittgenstein,Ray Monk
North of South,Shiva Naipaul
The Beloved,Kahlil Gibran;John Walbridge
Who are You?,Malcolm Godwin
Palimpsest,Gore Vidal
Existentialists and Mystics,Iris Murdoch
Difficult Conversations,Douglas Stone;Bruce Patton;Sheila Heen
The Farming of Bones,Edwidge Danticat
Wanderlust,Rebecca Solnit
Hunger,Lan Samantha Chang
Pleasing Myself,Frank Kermode
World's End,T. Coraghessan Boyle
Descent of Man,T. Coraghessan Boyle
Budding Prospects,T. Coraghessan Boyle
Seventeen & In-Between,Barthe DeClements
The Birth of Tragedy,Friedrich Nietzsche
Three Men in a Boat,Jerome Klapka Jerome
The Wasps,Aristophanes
Cousin Pons,Honore Balzac
Phaedrus,Plato
Either/Or,Soren Kierkegaard
Democracy in America,Alexis Tocqueville;Gerald Bevan;Isaac Kramnick
Critical Studies,Kathleen Parkinson
Bridget Jones's Diary,Helen Fielding
In the Heart of the Sea,Nathaniel Philbrick
Door Wide Open,Jack Kerouac
The Fabric of the Cosmos,Brian Greene
Stupid White Men,Michael Moore
"Speak, Memory",Vladimir Nabokov;Vladimir Vladimirovich Nabokov
Orwell in Spain,George Orwell
Answered Prayers,Truman Capote
Boy,Roald Dahl
Salt,Mark Kurlansky
The Eyre Affair,Jasper Fforde
Word Freak,Stefan Fatsis
When the Elephants Dance,Tess Uriza Holthe
The Blank Slate,Steven Pinker
The Classic Ten,Nancy MacDonell Smith;Nancy MacDonell
I Should be Extremely Happy in Your Company,Brian Hall
River of Shadows,Rebecca Solnit
