title,author
Myths of the Underworld Journey,III
Three Complete Novels,Lloyd Alexander
The Last Eyewitness,Chris Seay;David B. Capes;Brian McLaren
Slaughterhouse Blues,Donald D. Stull;Michael J. Broadway
Forbidden Knowledge,Stephen R. Donaldson
The Mind's I,Douglas R. Hofstadter;Daniel Clement Dennett
Girls in Pants,Ann Brashares
Tides of War,Steven Pressfield
Men Who Hate Women and the Women Who Love Them,Susan Forward;Joan Torres
Gates Of Fire,Steven Pressfield
A Dark and Hungry God Arises,Stephen R. Donaldson
I. Asimov,Isaac Asimov
Watchers of Time,Charles Todd
Social Intelligence,Daniel Goleman
Sailing from Byzantium,Colin Wells
Death of a Naturalist,Seamus Heaney
The Real Thing,Tom Stoppard
Tales from Ovid,Ovid;Ted Hughes
Tom Stoppard: Plays 5,Tom Stoppard
Letters Home,Sylvia Plath
Finders Keepers,Seamus Heaney
The Last Hero,Terry Pratchett
Common Ground,Molly Bang
Scary stories 3,Alvin Schwartz
Vesco from Wall Street to Castro's Cuba,Arthur Herzog
High performance MySQL,Jeremy D. Zawodny;Derek J. Balling
Hackers & Painters,Paul Graham
BSD Hacks,Dru Lavigne
IMovie 4 & IDVD,David Pogue
The New Hite Report,Shere Hite
Execution,Larry Bossidy;Ram Charan;Charles Burck
Dispatches from the Tenth Circle,Robert Siegel
The Two Towers,John Ronald Reuel Tolkien
Farmer Giles of Ham,John Ronald Reuel Tolkien
Unweaving the Rainbow,Richard Dawkins
The Letters of J.R.R. Tolkien,John Ronald Reuel Tolkien
J.R.R. Tolkien,Humphrey Carpenter
The Return of the Shadow,John Ronald Reuel Tolkien;Christopher Tolkien
J.R.R. Tolkien,Wayne G. Hammond;Christina Scull
Once a Wolf,Stephen R. Swinburne;Jim Brandenburg
Colter,Rick Bass
Nixon Agonistes,Garry Wills
Two of Us,Peter Smith
Queen of Scots,John Alexander Guy
Inventing America,Garry Wills
The Lord of the Rings,Brian Sibley
Fergus and the Night-Demon,Jim Murphy
The Fellowship of the Ring,J. R. R. Tolkien
The Hermit's Story,Rick Bass
The Lord of the Rings,Chris Smith
Understanding the Lord of the Rings,Neil D. Isaacs;Rose A. Zimbardo
Reefer Madness,Eric Schlosser
The Last Shot,Darcy Frey
Dark Star Safari,Paul Theroux
"Since 1500, Chapters 15-30",Richard W. Bulliet
Fun Home,Alison Bechdel
Entre Amis,Michael Oates;Larbi Oukada
Tolkien And The Great War,John Garth
Bury the Chains,Adam Hochschild
The Ancestor's Tale,Richard Dawkins;Yan Wong
Three Nights in August,H. G. Bissinger;Buzz Bissinger
The Chosen,Jerome Karabel
Western Philosophy,John G. Cottingham
Philosophical Investigations,Ludwig Wittgenstein
Michael W. Smith,Michael W. Smith
"The Mystery of the Ancient Pyramid (Cairo, Egypt)",Carole Marsh
The Gospel According to Tolkien,Ralph C. Wood
That Godless Court?,Ronald Bruce Flowers
Luther and Erasmus,Ernest Gordon Rupp;Philip Saville Watson
Self-made Man,Norah Vincent
Mayflower,Nathaniel Philbrick
Dust,Martha Grimes
Artemis Fowl,Eoin Colfer
Venice: Lion City,Garry Wills
Guilty as Charged,Scott Turow
The Night Awakens,Mary Higgins Clark
Anne Frank Remembered,Miep Gies;Alison Leslie Gold
The Seven Habits of Highly Effective People,Stephen R. Covey
STINGER,Robert McCammon
Berserkers,Fred Saberhagen
American Tragedy,David E. Kaiser
The Writer of Modern Life,Walter Benjamin
Iron Kingdom,Christopher M. Clark;University Christopher Clark
Iron Kingdom,MD
Ancilla to the Pre-Socratic Philosophers,Mary Fitt;Kathleen Freeman
Doubling the Point,Professor of General Literature J M Coetzee;J. M. Coetzee
The Fate of Reason,Frederick C. Beiser
"New Worlds, Ancient Texts",Anthony Grafton;Nancy G. Siraisi;April Shelford
Origins of the Modern Mind,Merlin Donald
The Principles of Psychology,William James
Wittgenstein on Rules and Private Language,Saul A. Kripke
Plato in twelve volumes,Plato
History of the Peloponnesian War,Thucydides
Hiero,Xenophon
Epictetus,Epictetus
The Complete Collected Poems of Maya Angelou,Maya Angelou
A fine balance,Rohinton Mistry
The Red and the Black,Stendhal
The Killer Angels,Michael Shaara
The Murders in the Rue Morgue,Edgar Allan Poe
Darkness Visible,William Styron
Where I'm Calling from,Raymond Carver
The History of Sexuality,Michel Foucault
The Defense,Vladimir Vladimirovich Nabokov;Michael Scammell
The Rebel,Albert Camus
American Psycho,Bret Easton Ellis
Athena,John Banville
"Caramelo, Or, Puro Cuento",Sandra Cisneros
Blues for Mister Charlie,James Baldwin
Art & Lies,Jeanette Winterson
The Grotesque,Patrick McGrath
The Road to Reality,Roger Penrose
The Living and the Dead,Paul Hendrickson
Shalimar the Clown,Salman Rushdie
A Life in Letters,F. Scott Fitzgerald
A Calendar of Wisdom,Leo Tolstoy
"Two Girls, Fat and Thin",Mary Gaitskill
The Complete Short Stories Of Ernest Hemingway,Ernest Hemingway
Soul of the Sword,Robert L. O'Connell
Unlimited Power,Tony Robbins
Hamlet's Dresser,Bob Smith
Out of the Woods,Chris Offutt
Mad Cowboy,Howard F. Lyman;Glen Merzer
The Noonday Demon,Andrew Solomon
The Rum Diary,Hunter S. Thompson
No Heroes,Chris Offutt
Jukebox Queen Of Malta,Nicholas Rinaldi
Yesterday I Cried,Iyanla Vanzant
Of Time and the River,Thomas Wolfe
The Mutineer,Hunter S. Thompson
Screwjack,Hunter S. Thompson
Exclusion and Embrace,Miroslav Volf
Worlds enough and time,Joe Haldeman;Joe W. Haldeman
Behind a Mask,Louisa May Alcott
NYC Ballet Workout,Peter Martins
Kevin Trudeau's Mega Memory,Kevin Trudeau
The Purpose of Your Life,Carol Adrienne
Phantoms in the Brain,V. S. Ramachandran
The Lost Tomb,Kent R. Weeks
Sad Underwear and Other Complications,Judith Viorst
Salt in His Shoes,Deloris Jordan;Roslyn M. Jordan
The Children's Homer,Padraic Colum
Alanna,Tamora Pierce
The Myth of the Eternal Return,Mircea Eliade
EUGENE ONEGIN - A NOVEL IN VERSE V.1,Aleksandr Sergeevich Pushkin
Images and Symbols,Mircea Eliade
Vladimir Nabokov,Brian Boyd
The Rise of Christianity,Rodney Stark
Making Democracy Work,Robert D. Putnam;Robert Leonardi;Raffaella Nanetti
The Two-Mile Time Machine,Richard B. Alley
Shamanism,Mircea Eliade
"Mine, All Mine",Ruth Heller
The Mansion on the Hill,Fred Goodman
The World is Flat,Thomas L. Friedman
Euripides,Pantelis Michelakis
The Egyptologist,Arthur Phillips
A Farewell to Arms?,Michael Cox;Adrian Guelke;Fiona Stephen
Code,Charles Petzold
"The Girlhood Diary of Louisa May Alcott, 1843-1846",Louisa May Alcott
Life Management for Busy Women,Elizabeth George
Simple Acts of Faith,Margaret Feinberg
Perfectly Reasonable Deviations from the Beaten Track,Richard Phillips Feynman
Juneau and Sauk Counties,Jacqueline Ann;Sheila Zenk
Bill Gates,Sara Barton-Wood
Another Day in Paradise,Jim Toomey
Bowling Alone,Robert D. Putnam
The Blackwater Lightship,Colm Toibin
The Body Artist,Don DeLillo
Sarah Ban Breathnach's Mrs. Sharp's Traditions,Sarah Ban Breathnach
Not Much Fun,Stuart Y. Silverstein
An Hour Before Daylight,Jimmy Carter
Cover Her Face,P.D. James
Authentic Happiness,Martin E. P. Seligman
Yanks,John Eisenhower
Man and Boy,Tony Parsons
President Nixon,Richard Reeves
Shout!,Philip Norman
Man and Wife,Tony Parsons
Teacher Man,Frank McCourt
Will You Miss Me When I'm Gone?,Mark Zwonitzer;Charles Hirshberg
Cosmopolis,Don DeLillo
The Boat of Dreams,Richard Preston
The Glass Castle,Jeannette Walls
Wideacre,Philippa Gregory
The Master,Colm Toibin
Generation of Swine,Hunter S. Thompson
The Great Shark Hunt,Hunter S. Thompson
Sea of Thunder,Evan Thomas
Frankenstein,Mary Wollstonecraft Shelley
The Trial of Queen Caroline,Jane Robins
Benjamin Franklin,Walter Isaacson
Team of Rivals,Doris Kearns Goodwin
Untouchables,Narendra Jadhav
Brokeback Mountain,Annie Proulx
Love Smart,Dr. Phil McGraw
Virgin Earth,Philippa Gregory
Diary of a Mistress,Miasha
Female Chauvinist Pigs,Ariel Levy
Persian Mirrors,Elaine Sciolino
Kissinger,Walter Isaacson
Lisey's Story,Stephen King
You On A Diet,M. D. Roizen (Michael F.);Michael F. Roizen
Does Anything Eat Wasps?,New Scientist
The SPEED of Trust,Stephen R. Covey;Rebecca R. Merrill
Like Shaking Hands With God,Kurt Vonnegut Jr.;Lee Stringer
The Second Time Around,Mary Higgins Clark
Perfect Match,Jodi Picoult
Blink-182,Blink-182;Anne Hoppus;Tom Delonge;Mark Hoppus;Travis Barker
Songs of the Humpback Whale,Jodi Picoult
One More for the Road,Ray Bradbury
Shock Wave,Clive Cussler
My Sister's Keeper,Jodi Picoult
Vanishing Acts,Jodi Picoult
Sex and the City,Amy Sohn;Sarah Jessica Parker
He Sees You When You're Sleeping,Mary Higgins Clark;Carol Higgins Clark
From Sawdust to Stardust,Terry Lee Rioux
"Click, Clack, Moo",Doreen Cronin;Betsy Lewin
Band of Brothers,Stephen E. Ambrose
First Things First,Stephen R. Covey
Goodnight Nobody,Jennifer Weiner
The Diablo: The Sin War #1: Birthright,Richard A. Knaak
Diablo: The Sin War #2: Scales of the Serpent,Blizzard Entertainment
The Best of Ray Bradbury,Ray Bradbury
Undaunted Courage,Stephen E. Ambrose
The Sea Hunters,Clive Cussler;Craig Dirgo
Getting the Love You Want,Harville Hendrix
Never Go Home Again,Shannon Holmes
Performance Assessments for Adult Education,Dan Birlew
Dragon Quest VIII,Dan Birlew
Castlevania,BradyGames (Firm)
Propaganda and the Public Mind,David Barsamian;Noam Chomsky
Zizek,Sarah Kay
Political Philosophy,Adam Swift
The Gifts of the Jews,Thomas Cahill
"Easy Riders, Raging Bulls",Peter Biskind
Transform Your Life,Diana Cooper
It's a Magical World,Bill Watterson
Tuesdays with Morrie,Mitch Albom
The Lost World,Gail Herman
The Unadulterated Cat,Terry Pratchett;Gray Jolliffe
I Wonder Why I Blink,Brigid Avison
I Wonder Why the Sun Rises,Brenda Walpole
Mouse Or Rat?,Umberto Eco
Razor's Edge,Hugh Bicheno;Richard Holmes
The Science of Harry Potter,Roger Highfield
The DC Comics Encyclopedia,Phil Jimenez
A Faith Like Mine,Laura Buller
Star Wars,Kristin Lund;Simon Beecroft;Kerrie Dougherty
The Marvel Comics Encyclopedia,DK Publishing
The Marvel Comics Encyclopedia,Inc
Greece,Marc Dubin
Sugar Cookie Murder,Joanne Fluke
Corvette,Randy Leffingwell
Jimmy Stewart,Starr Smith
The John Deere Two-Cylinder Tractor Encyclopedia,Don Macmillan;Wayne G. Broehl
The Brave Women of the Gulf Wars,Karen Zeinert;Mary Miller
The Wealthy Barber,David Chilton
Lego Star Wars,Michael Littlefield;Prima Games
The Politics of Injustice,Katherine Beckett;Theodore Sasson
The Illustrated on the Shoulders of Giants,Stephen W. Hawking
Castle Diary,Richard Platt;Chris Riddell
Dragonology,Ernest Drake
"Judy Moody, M.D.",Megan McDonald
Judy Moody,Megan McDonald
Mercy Watson,Kate DiCamillo;Chris Van Dusen
Aquatic Turtles,Richard D. Bartlett;Patricia Bartlett
Legends,Robert Silverberg
The Dragon Reborn,Robert Jordan
What Dreams May Come,Richard Matheson
The Dark Mirror,Juliet Marillier
Children of the Night,Mercedes Lackey
Jinx High,Mercedes Lackey
Sarah,Orson Scott Card
To Light a Candle,Mercedes Lackey;James Mallory
In the Land of the Lawn Weenies,David Lubar
New Threads in the Pattern,Robert Jordan
Godslayer,Jacqueline Carey
Jonathan Strange & Mr Norrell,Susanna Clarke
I'm a Stranger Here Myself,Bill Bryson
Q,Quincy Jones
The Hunt for Zero Point,Nick Cook
For the Sins of My Father,Albert DeMeo;Mary Jane Ross
Bookends,Jane Green
The Minimalist Cooks at Home,Mark Bittman
Conspiracy of Fools,Kurt Eichenwald
Babyville,Jane Green
La Cucina Di Lidia,Lidia Bastianich;Jay Jacobs
The Sex Lives of Cannibals,J. Maarten Troost
Holy Cow,Sarah MacDonald
Love @ First Site,Jane Moore
The Dictionary of Corporate Bullshit,Lois Beckwith
It's Called a Breakup Because It's Broken,Greg Behrendt;Amiira Ruotola-Behrendt
Life on Planet Rock,Lonn Friend
The View from Castle Rock,Alice Munro
Kaplan & Sadock's Synopsis of Psychiatry,Benjamin J. Sadock;Virginia A. Sadock
The Punisher,Garth Ennis;Jeff Youngquist;John McCrea
Astonishing X-Men - Volume 1,Joss Whedon
The Power of One,John C. Maxwell;Thomas G. Addington
Only the River Runs Free,Bodie Thoene;Brock Thoene
The Blood of the Moon,George Grant
Rape,Joyce Carol Oates
The Boys of Everest,Clint Willis
Divine Invasions,Lawrence Sutin
Writing with Intent,Margaret Atwood
Summerland,Michael Chabon
Baby Einstein: Violet's House,Julie Aigner-Clark
It's Kind of a Funny Story,Ned Vizzini
Nigella Bites,Nigella Lawson
Love,Pablo Neruda
Betrayal of Trust,Laurie Garrett
Dirty Jokes and Beer,Drew Carey
Shopgirl,Steve Martin
The Players of Gilean,Margaret Weis;Tracy Hickman
The Search for Power,Margaret Weis
The Five Dysfunctions of a Team,Patrick M. Lencioni
Cults in Our Midst,Margaret Thaler Singer
Organic Church,Neil Cole
Killing the Imposter God,Donna Freitas;Jason E. King
Moonage Daydream,David Bowie
Freedom Riders,Ann Bausum
In Focus,National Geographic Society (U.S.)
"""Gorgias"" and ""Phaedrus""",Plato
The River Runs Black,Elizabeth Economy
Edie,Jean Stein
Last Words,William S. Burroughs
The House of Morgan,Ron Chernow
The Eternal Frontier,Tim Flannery
Monster,Sanyika Shakur
Cold Mountain,Charles Frazier;George Vithoulkas
The 10 Commandments of Parenting,H. Edwin Young
Longitude,Dava Sobel;Neil Armstrong
The -Alchemist's Kitchen,Guy Ogilvy
A Time to Embrace,William Stacy Johnson
Jesus and the Eyewitnesses,Richard Bauckham
The Early History of God,Mark S. Smith
The Killer Department,Robert Cullen
The Magic Journey,John Nichols
Robert Frost,Jay Parini
The Milagro Beanfield War,John Nichols
Nickel and Dimed,Barbara Ehrenreich
Eight Men Out,Eliot Asinof
John Adams,John P. Diggins
Ulysses S. Grant,Josiah Bunting
You Come Too,Robert Frost
The Poetry of Robert Frost,Robert Frost
Media Unlimited,Todd Gitlin
In Harm's Way,Doug Stanton
The Second World War,Martin Gilbert
"The Historical Atlas of New York City, Second Edition",Eric Homberger
Messenger of Truth,Jacqueline Winspear
Saint-Exupery,Stacy Schiff
The Foundling,Lloyd Alexander
Travels in the Scriptorium,Paul Auster
How to Be a Jewish Parent,Anita Diamant;Karen Kushner
Anatomy & Physiology Coloring Workbook,Elaine N. Marieb
Monkey Business,Marvin N. Olasky;John Perry
Writing the Qualitative Dissertation,Judith M. Meloy
Warfare in the Classical World,John Gibson Warry
So Far from God,John S. D. Eisenhower
Selections from Homer's Iliad,Homer
The Parrot Head Companion,Thomas Ryan
Vicars of Christ,Charles A. Coulombe
The Minority Report,Philip K. Dick
Man's Search for Meaning,Viktor Emil Frankl
Art and Culture,Clement Greenberg
When the Rivers Run Dry,Fred Pearce
The Scotch-Irish,James G. Leyburn
The Transcendence of the Ego,Jean-Paul Sartre
The Phenomenon of Life,Hans Jonas;Eleonore Jonas
Lewis Carroll's Jabberwocky,Graeme Base
The Beatles,Simon Wells
Creating the Worlds of Star Wars,John Knoll;J. W. Rinzler
National Geographic Society,C. D.B. Bryan
Pink Box,Joan Sinclair
Safe Conduct,Boris Leonidovich Pasternak
Wookiee Cookies,Robin Davis
The Star Wars Cookbook II,Frankie Frankeny;Wesley Martin
Stylepedia,Steven Heller;Louise Fili
Chicago Stories,John Miller;Genevieve Morgan
I Am 8-bit,Jon M. Gibson
Edie,Melissa Painter;David Weisman
Chaucer's Canterbury Tales (Selected),Geoffrey Chaucer;Vincent F. Hopper
"Twelfth Night, Or, What You Will",William Shakespeare
"Aeschylus, 1",Aeschylus
"Euripides, 3",Euripides
Pastwatch,Orson Scott Card
Orion,Ben Bova
The Ships of Earth,Orson Scott Card
A Crown of Swords,Robert Jordan
Yon Ill Wind,Piers Anthony
Winter's Heart,Robert Jordan
The Sword of Truth,Terry Goodkind
The Simpsons and Philosophy,William Irwin;Mark T. Conard;Aeon J. Skoble
Woody Allen and Philosophy,Mark T. Conard;Aeon J. Skoble
Harry Potter and Philosophy,David Baggett;Shawn Klein;William Irwin
The Lord of the Rings and Philosophy,Gregory Bassham;Eric Bronson
Superheroes and Philosophy,Thomas V. Morris;Matt Morris;William Irwin
Star Wars and Philosophy,Kevin S. Decker;William Irwin;Jason T. Eberl
The Undead and Philosophy,Richard Greene;K. Silem Mohammad
The Beatles and Philosophy,Michael Baur;Steven Baur
Bullshit and Philosophy,Gary L. Hardcastle;George A. Reisch
Islam,Karen Armstrong
A Working Stiff's Manifesto,Iain Levison
Funny in Farsi,Firoozeh Dumas
The Birth of Venus,Sarah Dunant
The Knight Of Maison-Rouge,Alexandre Dumas
A War Like No Other,Victor Davis Hanson
Reading Lolita in Tehran,Azar Nafisi
Color,Victoria Finlay
No God But God,Reza Aslan
Fooled By Randomness,Nassim Taleb
The March,E. L. Doctorow
Winter Season,Toni Bentley
Echoes of the Marseillaise,Eric J. Hobsbawm
Girls who Wore Black,Ronna Johnson;Nancy McCampbell Grace
Latin Via Ovid,Norma Goldman;Jacob E. Nyenhuis
Practice! Practice!,Norma Goldman;Michael Rossi
The Gramsci Reader,Antonio Gramsci
Cold Counsel,Sarah M. Anderson;Karen Swenson
George Eliot,Kathryn Hughes
Marilyn Monroe,Donald Spoto
The Condor and the Cows,Christopher Isherwood
Filth,William A. Cohen
Robert Penn Warren's All the King's Men,Robert Penn Warren
Middlemarch,Brian Johnston;Mary Ellen Snodgrass
"Beckett's Waiting for Godot, Endgame, & Other Plays",Jeffrey Fisher;James L. Roberts
A Streetcar Named Desire,Tennessee Williams
The Classical Drawing Atelier,Juliette Aristides
Freaks!,Steve Miller
The Munsters,Stephen Cox
Life of the Beloved,Henri J. M. Nouwen
Save the Date,Jason King;Donna Freitas
Huxley and God,Aldous Huxley
Reinventing Jesus,J. Ed Komoszewski;M. James Sawyer;Daniel B. Wallace
Quito 1599,Kris E. Lane
Don DeLillo's White Noise,Leonard Orr
Anita Diamant's The Red Tent,Ann Finding
Beyond the Chains of Illusion,Erich Fromm;Rainer Funk
JK Rowling's Harry Potter Novels,Philip Nel
Too Busy Not to Pray,Bill Hybels;LaVonne Neff
The Nature of the Atonement,James K. Beilby;Paul R. Eddy
Original Sin,Henri Blocher
The Cross from a Distance,Peter G. Bolt
Beyond the Postmodern Mind,Huston Smith
Mandala,Judith Cornell
Stephen King from A to Z,George Beahm
Foundations of Clinical Research,Leslie Gross Portney;Mary P. Watkins
Desecration,Tim F. LaHaye;Jerry B. Jenkins
Armageddon,Tim F. LaHaye;Jerry B. Jenkins
Left behind,Tim Lahaye;Tim F. LaHaye;Jerry B. Jenkins
Kingdom Come,Tim F. LaHaye;Jerry B. Jenkins
The Rising,Tim LaHaye;Tim F. LaHaye;Jerry B. Jenkins
Silenced,Jerry B. Jenkins
The Grace Awakening,Charles R. Swindoll
The Valley of Vision,Arthur Bennett
From Hell,Alan Moore;Eddie Campbell;Pete Mullins
Eight Mindful Steps to Happiness,Henepola Gunaratana
Corroborating Evidence,William T. Rasmussen
Suburban Nation,Andres Duany;Elizabeth Plater-Zyberk;Jeff Speck
Summa Theologica,Thomas Aquinas
Whoreson,Donald Goines
Sherlock Holmes,Nick Rennison
Halsey's Typhoon,Bob Drury;Thomas Clavin
Mapping the Big Picture,Heidi Hayes Jacobs
"On Justice, Power, and Human Nature",Thucydides
Leviathan,Thomas Hobbes;Edwin M. Curley
The Grand Inquisitor,Fyodor Dostoyevsky;Charles B. Guignon
Aristophanes 1,Aristophanes;Peter Meineck
Aristophanes 1,Aristophanes
The Trial and Death of Socrates (Third Edition),Plato;George Maximilian Anthony Grube;John Madison Cooper
Kaddish and Other Poems: 1958-1960,Allen Ginsberg
The Scripture of the Golden Eternity,Jack Kerouac
Chekhov's Doctors,Anton Pavlovich Chekhov;Jack Coulehan;John L. Coulehan
The Search for the Beloved,Jean Houston
A Gateway to Sindarin,David Salo
Blame It on the Brain?,Edward T. Welch
A Full House,Madeleine L'Engle
Hamlet's Mill,Giorgio De Santillana;Hertha von Dechend
John Deere Farm Tractors,Randy Leffingwell
Bioinformatics,David W. Mount
God's Generals,Roberts Liardon
Experimental Phenomenology,Don Ihde
Hard Drive,James Wallace;Jim Erickson
Die Broke,Stephen Pollan;Mark Levine
Teaching the World's Children,Mary Ashworth;Patricia Wakefield
Feeding the Future,Andrew Heintzman;Evan Solomon
The Stress-Free Habit,John Perkins
America Alone,Mark Steyn
The Real Jimmy Carter,Steven F. Hayward
Topsail Island,Ray McAllister
Sister Outsider,Professor Audre Lorde;Audre Lorde
Outsiders Within,Jane Jeong Trenka;Julia Chinyere Oparah;Sun Yung Shin
Saint Ignatius Loyola,James Brodrick
No Price Too High,Alex Jones
The Confessions of St. Augustine,Saint Augustine (Bishop of Hippo.);Saint Augustine of Hippo;Joseph Mary Leleu
Melville's Moby-Dick,Edward F. Edinger
Soul Mates and Twin Flames,Elizabeth Clare Prophet
The Covert War Against Rock,Alex Constantine
Big Dead Place,Nicholas Johnson
Life Amongst the Modocs,Joaquin Miller
"Yes, Your Teen Is Crazy!",Michael J. Bradley
The Naked Warrior,Pavel Tsatsouline
Mahatma Gandhi and His Myths,Mark Shepard
Seduction and Betrayal,Elizabeth Hardwick
"The Leatherstocking Tales: The pioneers, or The sources of the Susquehanna. The last of the Mohicans. The prairie",James Fenimore Cooper
"The Leatherstocking Tales: The pathfinder, or The inland sea. The deerslayer, or The first war-path",James Fenimore Cooper
Speeches and Writings 1832-1858,Abraham Lincoln
"Collected tales, sketches, speeches, and essays 1891-1910",Mark Twain
Historical Romances,Mark Twain;Samuel Langhorne Clemens;Victor and Lin Salamo editors Fischer;Susan K. Harris;Susan R. Harris
Christian Mythmakers,Rolland Hein
Leaving the 20th Century,Christopher Gray
Pyramids of Montauk,Preston B. Nichols;Peter Moon
Desire and Duty,Teddy F. Bader;Marilyn Bader
Reefer madness,Eric Schlosser
You are Being Lied to,Russell Kick
A Winter's Tale,Cassie Brown
New York City's Best Dive Bars,Wendy Mitchell
Dark Rivers of the Heart/Intensity/Sole Survivor,Dean Koontz
Maud Hart Lovelace's Deep Valley,Julie A. Schrader
Transcending the Levels of Consciousness,David R. Hawkins
Discovery of the Presence of God,David R. Hawkins
The Player's Handbook,Heidi Fleiss;Libby Keatinge
H.G. Wells' Floor Games,H. G. Wells;Barbara A. Turner
The Frequencies,Noah Eli Gordon
Caesar's Commentaries,Julius Caesar;W. A. MacDevitt;James H. Ford
Unauthorized Harry Potter and the Deathly Hallows News,W. Frederick Zimmerman
Agile Web Development with Rails,David Thomas;David Heinemeier Hansson;Leon Breedt
Behind Closed Doors,Johanna Rothman;Esther Derby
Brevity & echo,Kathleen Rooney
Eating Stone,Ellen Meloy
1491,Charles C. Mann
The Crazed,Ha Jin
His Excellency,Joseph J. Ellis
Diary,Chuck Palahniuk
A Year at the Races,Jane Smiley
Beloved,Toni Morrison
Parallel Worlds,Michio Kaku
Who Will Run the Frog Hospital?,Lorrie Moore
A Thousand Acres,Jane Smiley
Providence of a Sparrow,Chris Chester
Case Closed,Gerald Posner
Chronicle of a Death Foretold,Gabriel Garcia Marquez
Lidia's Italy,Tanya Bastianich Manuali
The Plague,Albert Camus
Confessions of a French Baker,Peter Mayle;Gerard Auzet
Imperial Life in the Emerald City,Rajiv Chandrasekaran
Gale Gand's Short + Sweet,Gale Gand;Julia Moskin
Fugitives and Refugees,Chuck Palahniuk
"Isolde, Queen of the Western Isle",Rosalind Miles
Last Train to Paradise,Les Standiford
"The Hedgehog, the Fox, and the Magister's Pox",Stephen Jay Gould
The Last Hours of Ancient Sunlight,Thom Hartmann
The Ruby Ring,Diane Haeger
Eat This Book,Tyler Florence
Tyler's Ultimate,Tyler Florence
Everyday Italian,Giada De Laurentiis
Godless,Ann H. Coulter
The Family that Couldn't Sleep,Daniel T. Max
The Secret Society of Demolition Writers,Aimee Bender;Marc Parent
Peony in Love,Lisa See
The Wild Trees,Richard Preston
There's a (slight) Chance I Might be Going to Hell,Laurie Notaro
American Gospel,Jon Meacham
Saturday,Ian McEwan
The Disappointment Artist,Jonathan Lethem
Created In Darkness By Troubled Americans,Dave Eggers
For Her Own Good,Barbara Ehrenreich;Deirdre English
Learned Optimism,Martin E. P. Seligman
The Island At The Center Of The World,Russell Shorto
Operating Instructions,Anne Lamott
Blood Done Sign My Name,Timothy B. Tyson
Beowulf,Howell D. Chickering
The Eiger Sanction,Trevanian
Shibumi,Trevanian
On the Road to Perdition,Max Allan Collins;Jose Luis Garcia-Lopez
Superman,Mark Waid;Leinil Francis Yu
Arkham Asylum,Grant Morrison;Dave McKean
Jack of Fables,Bill Willingham;Matthew Sturges;Tony Akins;Andrew Pepoy
Sgt. Rock,Joe Kubert
Pledged,Alexandra Robbins
Jamie's Dinners,Jamie Oliver
Being dead is no excuse,Gayden Metcalfe;Charlotte Hays
Mother God,Sylvia Browne
Lila's Child,Dan Glover
Strawberry Days,David A. Neiwert
The End of Nana Sahib,Jules Verne
A Million Little Pieces of Feces,Python Bonkers
The Radical Right and the Murder of John F. Kennedy,Harrison E. Livingstone
The Regime,Tim F. LaHaye;Jerry B. Jenkins
The Rapture,Tim F. LaHaye;Jerry B. Jenkins
Star Trek: Voyager: String Theory #3,Heather Jarman
The Farthest Shore,Ursula K. Le Guin
Cell,Stephen King
Santa Cruise,Mary Higgins Clark;Carol Higgins Clark
Same Sex in the City,Lauren Levin;Lauren Blitzer
"Fullmetal Alchemist, Vol. 5",Hiromu Arakawa
Pirates of the Caribbean: The Coming Storm - Jack Sparrow Book #1,Rob Kidd
Surfer's Code,Shaun Tomson;Patrick J. Moser
The Trouble with the Pears,Gia Bathory Al Babel
No Cherubs for Melanie,James Hawkins
Magic Carpet Ride,John Kay;John Einarson
Terry,Douglas Coupland
Your Inner Physician and You,John E. Upledger
Healing with Whole Foods,Paul Pitchford
James Dean,David Dalton
The Hitchhiker's Guide to the Galaxy,Robbie Stamp;Paul Simpson
The Apple that Astonished Paris,Billy Collins
Keeping Faith,Jimmy Carter
Spring's Awakening,Frank Wedekind
Smart Love,Martha Heineman Pieper;William Joseph Pieper
Betty Friedan and the Making of The Feminine Mystique,Daniel Horowitz
The Complete ACOA Sourcebook,Janet G. Woititz
On the Bus,Paul Perry;Ken Babbs
Requiem for a Dream,Hubert Selby
Expelled from Eden,Perseus
Wokini,Billy Mills;Nicholas Sparks
Power Vs. Force,David R. Hawkins
"Boomers, Xers, and Other Strangers",Rick Hicks;Kathy Hicks
Don't Wait for Your Ship to Come In,John Mason
Read my lips,Riki Anne Wilchins
Death,Neil Gaiman;Chris Bachalo;Mark Buckingham;Mike Dringenberg
JLA,Grant Morrison
The Invisibles,Grant Morrison;Chris Weston;Ivan Reis;Ray Kryssing
The Authority,Warren Ellis;Bryan Hitch;Mark Millar;Frank Quitely
Exploring the Northern Tradition,Galina Krasskova
Letters,John Barth
Tales of Magick,Phil Brucato;Aaron Rosenberg
Water for Elephants,Sara Gruen
On Genesis,Saint Augustine (of Hippo)
The Truth about Columbus,James W. Loewen
Lies My Teacher Told Me,James W. Loewen
The War,Marguerite Duras
On Language,Noam Chomsky;Mitsou Ronat
The Assassination of Julius Caesar,Michael Parenti
Foghorn Outdoors Pacific Northwest Hiking,Scott Leonard;Megan McMorris
Road Trip USA,Jamie Jensen
Zora neale Hurston,Henry L. Gates
Things,Georges Perec;David Bellos
The Woman in Black,Susan Hill
The Last Shogun,Ryotaro Shiba
Song of Cthulhu,Stephen Mark Rainey
Miskatonic University,Sam Johnson
